Track,Race Speed,Time,Character,Vehicle,Tires,Glider
Mario Kart Stadium,150cc,"1'33""966",Yoshi,Cat Cruiser,Cushion,Paper Glider
Mario Kart Stadium,200cc,"1'06""993",Red Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Water Park,150cc,"1'38""763",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Water Park,200cc,"1'10""331",Luigi,Inkstriker,Azure Roller,Paper Glider
Sweet Sweet Canyon,150cc,"1'47""708",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Sweet Sweet Canyon,200cc,"1'20""698",Yoshi,Biddybuggy,Roller,Paper Glider
Thwomp Ruins,150cc,"1'46""988",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Thwomp Ruins,200cc,"1'15""654",Kamek,Mach 8,Roller,Parachute
Mario Circuit,150cc,"1'43""723",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
Mario Circuit,200cc,"1'12""617",Heavy Mii Moo Moo,Mach 8,Slim,Paper Glider
Toad Harbor,150cc,"2'01""498",Orange Yoshi,Varmint,Azure Roller,Paper Glider
Toad Harbor,200cc,"1'25""990",Heavy Mii Cheep Cheep,B Dasher,Crimson Slim,Super Glider
Twisted Mansion,150cc,"1'53""210",Pink Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Twisted Mansion,200cc,"1'21""982",Heavy Mii Bowser,Yoshi Bike,Wood,Paper Glider
Shy Guy Falls,150cc,"1'55""171",Blue Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Shy Guy Falls,200cc,"1'25""553",Luigi,Inkstriker,Crimson Slim,Paper Glider
Sunshine Airport,150cc,"1'56""971",Pink Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Sunshine Airport,200cc,"1'27""688",Luigi,Teddy Buggy,Azure Roller,Paper Glider
Dolphin Shoals,150cc,"1'51""943",White Yoshi,Streetle,Azure Roller,Paper Glider
Dolphin Shoals,200cc,"1'21""723",Light-blue Yoshi,Streetle,Azure Roller,Paper Glider
Electrodrome,150cc,"1'55""086",White Yoshi,Biddybuggy,Azure Roller,Paper Glider
Electrodrome,200cc,"1'21""669",Luigi,Inkstriker,Crimson Slim,Paper Glider
Mount Wario,150cc,"1'40""269",Black Yoshi,Biddybuggy,Azure Roller,Paper Glider
Mount Wario,200cc,"1'14""991",King Boo,Inkstriker,Azure Roller,Paper Glider
Cloudtop Cruise,150cc,"1'59""262",Black Yoshi,Inkstriker,Azure Roller,Paper Glider
Cloudtop Cruise,200cc,"1'28""709",Heavy Mii Toadette,Teddy Buggy,Azure Roller,Paper Glider
Bone-Dry Dunes,150cc,"1'46""382",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
Bone-Dry Dunes,200cc,"1'19""265",Ludwig,Teddy Buggy,Azure Roller,Paper Glider
Bowser's Castle,150cc,"1'57""655",Red Yoshi,Biddybuggy,Azure Roller,Paper Glider
Bowser's Castle,200cc,"1'25""568",Luigi,Inkstriker,Crimson Slim,Paper Glider
Rainbow Road,150cc,"1'58""302",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
Rainbow Road,200cc,"1'31""433",Luigi,Biddybuggy,Azure Roller,Paper Glider
Wii Moo Moo Meadows,150cc,"1'23""402",Yellow Yoshi,Biddybuggy,Azure Roller,Parachute
Wii Moo Moo Meadows,200cc,"0'58""418",Heavy Mii Moo Moo,Circuit Special,Slim,Super Glider
GBA Mario Circuit,150cc,"1'22""860",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
GBA Mario Circuit,200cc,"0'59""862",Kamek,Inkstriker,Crimson Slim,Paper Glider
DS Cheep Cheep Beach,150cc,"1'46""080",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
DS Cheep Cheep Beach,200cc,"1'15""077",Light-blue Yoshi,Landship,Azure Roller,Paper Glider
N64 Toad's Turnpike,150cc,"1'45""161",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
N64 Toad's Turnpike,200cc,"1'12""049",Wario,Sport Bike,Metal,Gold Glider
GCN Dry Dry Desert,150cc,"1'51""955",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
GCN Dry Dry Desert,200cc,"1'16""879",Yellow Yoshi,Streetle,Retro Off-Road,Paper Glider
SNES Donut Plains 3,150cc,"1'12""432",Pink Yoshi,Mr. Scooty,Azure Roller,Paper Glider
SNES Donut Plains 3,200cc,"0'55""241",Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
N64 Royal Raceway,150cc,"1'54""652",Pink Yoshi,Teddy Buggy,Roller,Paper Glider
N64 Royal Raceway,200cc,"1'23""314",Luigi,Teddy Buggy,Crimson Slim,Super Glider
3DS DK Jungle,150cc,"1'59""979",Yellow Yoshi,Teddy Buggy,Azure Roller,Paper Glider
3DS DK Jungle,200cc,"1'26""667",Luigi,Teddy Buggy,Azure Roller,Paper Glider
DS Wario Stadium,150cc,"1'49""727",Light-blue Yoshi,Teddy Buggy,Azure Roller,Paper Glider
DS Wario Stadium,200cc,"1'21""064",Luigi,Teddy Buggy,Azure Roller,Paper Glider
GCN Sherbet Land,150cc,"1'46""298",Birdo (Light Blue),Biddybuggy,Azure Roller,Paper Glider
GCN Sherbet Land,200cc,"1'16""130",White Yoshi,Koopa Clown,Sponge,Paper Glider
3DS Music Park,150cc,"1'49""681",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
3DS Music Park,200cc,"1'23""309",Rosalina,W 25 Silver Arrow,Azure Roller,Super Glider
N64 Yoshi Valley,150cc,"1'57""408",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
N64 Yoshi Valley,200cc,"1'23""992",White Yoshi,Pipe Frame,Slim,Super Glider
DS Tick-Tock Clock,150cc,"1'40""997",Light-blue Yoshi,Biddybuggy,Roller,Flower Glider
DS Tick-Tock Clock,200cc,"1'12""658",Pink Yoshi,Pipe Frame,Azure Roller,Paper Glider
DS Tick-Tock Clock,200cc,"1'12""658",Peach,Pipe Frame,Azure Roller,Parachute
3DS Piranha Plant Slide,150cc,"1'57""797",Black Yoshi,Biddybuggy,Azure Roller,Paper Glider
3DS Piranha Plant Slide,200cc,"1'25""870",Iggy,Mach 8,Crimson Slim,Cloud Glider
Wii Grumble Volcano,150cc,"1'51""801",Daisy,Teddy Buggy,Azure Roller,Cloud Glider
Wii Grumble Volcano,200cc,"1'21""080",Yellow Yoshi,Varmint,Azure Roller,Paper Glider
N64 Rainbow Road,150cc,"1'19""122",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
N64 Rainbow Road,200cc,"0'56""335",Dry Bowser,Mach 8,Leaf Tires,Paper Glider
GCN Yoshi Circuit,150cc,"1'41""072",Yellow Yoshi,Mr. Scooty,Azure Roller,Paper Glider
GCN Yoshi Circuit,200cc,"1'12""924",Dry Bones,Mr. Scooty,Azure Roller,Paper Glider
Excitebike Arena,150cc,"1'38""149",White Yoshi,Biddybuggy,Azure Roller,Cloud Glider
Excitebike Arena,200cc,"1'13""803",Luigi,Pipe Frame,Azure Roller,Paper Glider
Dragon Driftway,150cc,"1'39""717",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
Dragon Driftway,200cc,"1'15""957",Dry Bones,Biddybuggy,Leaf Tires,Flower Glider
Mute City,150cc,"1'50""788",Kamek,Mach 8,Leaf Tires,Paper Glider
Mute City,200cc,"1'20""588",Heavy Mii Cpt Falcon,Mach 8,Wood,Cloud Glider
Wii Wario's Gold Mine,150cc,"2'01""373",White Yoshi,Biddybuggy,Azure Roller,Paper Glider
Wii Wario's Gold Mine,200cc,"1'24""704",Heavy Mii Dry Bowser,Mach 8,Crimson Slim,Plane Glider
SNES Rainbow Road,150cc,"1'25""569",Light-blue Yoshi,Pipe Frame,Azure Roller,Paper Glider
SNES Rainbow Road,200cc,"1'01""785",Yellow Yoshi,Pipe Frame,Azure Roller,Bowser Kite
Ice Ice Outpost,150cc,"1'44""242",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
Ice Ice Outpost,200cc,"1'16""585",Link,Koopa Clown,GLA Tires,Paper Glider
Hyrule Circuit,150cc,"1'46""665",Yellow Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Hyrule Circuit,200cc,"1'19""631",Orange Yoshi,Teddy Buggy,Azure Roller,Paper Glider
GCN Baby Park,150cc,"1'01""836",Orange Yoshi,Mr. Scooty,Leaf Tires,Paper Glider
GCN Baby Park,200cc,"0'44""731",Baby Peach,Mr. Scooty,Button,Cloud Glider
GBA Cheese Land,150cc,"1'41""432",Peachette,Biddybuggy,Azure Roller,Paper Glider
GBA Cheese Land,200cc,"1'14""367",Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
Wild Woods,150cc,"1'45""183",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
Wild Woods,200cc,"1'16""162",Luigi,Mach 8,Leaf Tires,Paper Glider
Animal Crossing,150cc,"1'35""752",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
Animal Crossing,200cc,"1'10""361",Pauline,Teddy Buggy,Blue Standard,Super Glider
3DS Neo Bowser City,150cc,"1'41""960",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
3DS Neo Bowser City,200cc,"1'18""562",Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
GBA Ribbon Road,150cc,"1'43""328",Kamek,Teddy Buggy,Azure Roller,Paper Glider
GBA Ribbon Road,200cc,"1'16""566",Red Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Super Bell Subway,150cc,"1'39""472",Orange Yoshi,Biddybuggy,Azure Roller,Paper Glider
Super Bell Subway,200cc,"1'12""684",Light-blue Yoshi,Pipe Frame,Azure Roller,Paper Glider
Big Blue,150cc,"1'22""990",Funky Kong,Mach 8,Wood,Paper Glider
Big Blue,200cc,"1'00""330",Heavy Mii,Mach 8,Crimson Slim,Paper Glider
Tour Paris Promenade,150cc,"1'49""376",Pink Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Tour Paris Promenade,200cc,"1'16""389",Funky Kong,Sport Bike,Metal,Super Glider
3DS Toad Circuit,150cc,"1'19""900",Kamek,Teddy Buggy,Azure Roller,Paper Glider
3DS Toad Circuit,200cc,"0'55""984",Heavy Mii Dry Bowser,B Dasher,Cyber Slick,Super Glider
N64 Choco Mountain,150cc,"1'50""769",Pink Yoshi,Teddy Buggy,Azure Roller,Paper Glider
N64 Choco Mountain,200cc,"1'19""651",Luigi,Teddy Buggy,Azure Roller,Paper Glider
Wii Coconut Mall,150cc,"1'40""464",White Yoshi,Cat Cruiser,Azure Roller,Paper Glider
Wii Coconut Mall,200cc,"1'13""559",Luigi,Teddy Buggy,Azure Roller,Paper Glider
Tour Tokyo Blur,150cc,"1'24""894",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Tour Tokyo Blur,200cc,"0'58""852",Wario,Gold Standard,Crimson Slim,Super Glider
DS Shroom Ridge,150cc,"1'43""956",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
DS Shroom Ridge,200cc,"1'15""049",Pink Yoshi,Varmint,Crimson Slim,Super Glider
GBA Sky Garden,150cc,"1'25""510",Light-blue Yoshi,Teddy Buggy,Azure Roller,Paper Glider
GBA Sky Garden,200cc,"1'01""510",Orange Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Tour Ninja Hideaway,150cc,"1'51""466",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Ninja Hideaway,200cc,"1'23""958",Champion Link,Cat Cruiser,Roller,Paper Glider
Tour New York Minute,150cc,"1'21""888",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Tour New York Minute,200cc,"0'58""083",Pauline,Koopa Clown,Ancient Tires,Super Glider
SNES Mario Circuit 3,150cc,"1'30""325",Yellow Yoshi,Pipe Frame,Azure Roller,Paper Glider
SNES Mario Circuit 3,200cc,"1'04""188",Pink Yoshi,Pipe Frame,Azure Roller,Paper Glider
N64 Kalimari Desert,150cc,"1'27""642",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
N64 Kalimari Desert,200cc,"1'00""849",Pauline,Koopa Clown,Hot Monster,Waddle Wing
DS Waluigi Pinball,150cc,"2'18""411",Black Yoshi,Mr. Scooty,Azure Roller,Paper Glider
DS Waluigi Pinball,200cc,"1'45""277",Black Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Tour Sydney Sprint,150cc,"1'59""098",Pink Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Tour Sydney Sprint,200cc,"1'24""203",Wario,Koopa Clown,Crimson Slim,Super Glider
GBA Snow Land,150cc,"1'25""825",White Yoshi,Biddybuggy,Azure Roller,Paper Glider
GBA Snow Land,200cc,"1'03""978",Koopa Troopa,Streetle,Cushion,Parachute
Wii Mushroom Gorge,150cc,"1'26""751",Peachette,Streetle,Roller,Paper Glider
Wii Mushroom Gorge,200cc,"1'01""336",Light-blue Yoshi,Pipe Frame,Azure Roller,Paper Glider
Sky-High Sundae,150cc,"1'53""031",Black Yoshi,Biddybuggy,Roller,Paper Glider
Sky-High Sundae,200cc,"1'19""391",Rosalina,Inkstriker,Leaf Tires,Cloud Glider
Tour London Loop,150cc,"2'06""412",Yellow Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Tour London Loop,200cc,"1'28""395",Dry Bowser,Sport Bike,Metal,Super Glider
GBA Boo Lake,150cc,"1'19""849",Black Yoshi,Biddybuggy,Azure Roller,Paper Glider
GBA Boo Lake,200cc,"0'59""043",Light-blue Yoshi,Biddybuggy,Button,Parachute
3DS Rock Rock Mountain,150cc,"2'06""997",Funky Kong,Teddy Buggy,Cushion,Wario Wing
3DS Rock Rock Mountain,200cc,"1'27""180",Dry Bowser,Teddy Buggy,Cushion,Plane Glider
Wii Maple Treeway,150cc,"2'22""430",Tanooki Mario,Streetle,Azure Roller,Paper Glider
Wii Maple Treeway,200cc,"1'48""764",Wario,Gold Standard,Crimson Slim,Gold Glider
Tour Berlin Byways,150cc,"1'55""207",Pink Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Tour Berlin Byways,200cc,"1'21""552",Luigi,Teddy Buggy,Crimson Slim,Super Glider
DS Peach Gardens,150cc,"2'02""140",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
DS Peach Gardens,200cc,"1'25""610",Luigi,Teddy Buggy,Azure Roller,Super Glider
Tour Merry Mountain,150cc,"1'49""279",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Merry Mountain,200cc,"1'17""916",Blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
3DS Rainbow Road,150cc,"1'36""371",Light-blue Yoshi,Cat Cruiser,Azure Roller,Paper Glider
3DS Rainbow Road,200cc,"1'09""378",Dry Bowser,Tanooki Kart,Crimson Slim,Gold Glider
Tour Amsterdam Drift,150cc,"1'34""512",Black Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Amsterdam Drift,200cc,"1'06""558",Kamek,Landship,Azure Roller,Cloud Glider
GBA Riverside Park,150cc,"1'24""870",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
GBA Riverside Park,200cc,"1'01""990",Black Yoshi,Pipe Frame,Roller,Bowser Kite
Wii DK Summit,150cc,"1'53""833",Yellow Yoshi,Streetle,Sponge,Paper Glider
Wii DK Summit,200cc,"1'30""865",Heavy Mii,Koopa Clown,Standard,Super Glider
Yoshi's Island,150cc,"1'56""594",Red Yoshi,Streetle,Azure Roller,Paper Glider
Yoshi's Island,200cc,"1'25""494",Red Yoshi,Koopa Clown,Roller,Super Glider
Tour Bangkok Rush,150cc,"1'41""827",Light-blue Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Tour Bangkok Rush,200cc,"1'12""687",Luigi,Teddy Buggy,Azure Roller,Paper Glider
DS Mario Circuit,150cc,"1'36""504",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
DS Mario Circuit,200cc,"1'10""544",Peachette,Biddybuggy,Azure Roller,Paper Glider
GCN Waluigi Stadium,150cc,"1'52""794",Black Yoshi,Biddybuggy,Azure Roller,Paper Glider
GCN Waluigi Stadium,200cc,"1'24""931",Orange Yoshi,Koopa Clown,Sponge,Paper Glider
Tour Singapore Speedway,150cc,"1'55""582",Yellow Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Tour Singapore Speedway,200cc,"1'20""687",Wario,Teddy Buggy,Crimson Slim,Super Glider
Tour Athens Dash,150cc,"1'36""992",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Athens Dash,200cc,"1'10""609",Red Yoshi,Teddy Buggy,Roller,Parachute
GCN Daisy Cruiser,150cc,"1'33""810",Orange Yoshi,Biddybuggy,Azure Roller,Flower Glider
GCN Daisy Cruiser,200cc,"1'08""148",White Yoshi,Varmint,Azure Roller,Cloud Glider
Wii Moonview Highway,150cc,"1'41""918",Funky Kong,Circuit Special,Slick,Super Glider
Wii Moonview Highway,200cc,"1'11""672",Funky Kong,B Dasher,Slick,Super Glider
Squeaky Clean Sprint,150cc,"1'59""297",Yoshi,Streetle,Azure Roller,Paper Glider
Squeaky Clean Sprint,200cc,"1'25""138",Red Yoshi,Streetle,Roller,Parachute
Tour Los Angeles Laps,150cc,"1'45""157",Pink Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Los Angeles Laps,200cc,"1'13""890",Pink Yoshi,Varmint,Azure Roller,Super Glider
GBA Sunset Wilds,150cc,"1'32""261",White Yoshi,Streetle,Azure Roller,Paper Glider
GBA Sunset Wilds,200cc,"1'06""983",Red Yoshi,Pipe Frame,Azure Roller,Paper Glider
Wii Koopa Cape,150cc,"1'56""406",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
Wii Koopa Cape,200cc,"1'24""376",Orange Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Vancouver Velocity,150cc,"1'58""535",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Vancouver Velocity,200cc,"1'23""897",King Boo,Tanooki Kart,GLA Tires,Paper Glider
Tour Rome Avanti,150cc,"1'43""117",Yellow Yoshi,Biddybuggy,Azure Roller,Paper Glider
Tour Rome Avanti,200cc,"1'13""710",Pink Yoshi,Pipe Frame,Azure Roller,Paper Glider
GCN DK Mountain,150cc,"2'07""895",Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
GCN DK Mountain,200cc,"1'43""865",Pink Yoshi,Pipe Frame,Azure Roller,Paper Glider
Wii Daisy Circuit,150cc,"1'47""664",Pink Yoshi,Teddy Buggy,Azure Roller,Paper Glider
Wii Daisy Circuit,200cc,"1'15""998",Luigi,Teddy Buggy,Crimson Slim,Super Glider
Tour Piranha Plant Cove,150cc,"1'56""941",Yoshi,Streetle,Roller,Paper Glider
Tour Piranha Plant Cove,200cc,"1'23""616",Red Yoshi,Landship,Roller,Parachute
Tour Madrid Drive,150cc,"1'55""675",Pink Yoshi,Mr. Scooty,Azure Roller,Paper Glider
Tour Madrid Drive,200cc,"1'22""076",Luigi,Varmint,Azure Roller,Paper Glider
3DS Rosalina's Ice World,150cc,"1'55""742",Black Yoshi,Streetle,Azure Roller,Paper Glider
3DS Rosalina's Ice World,200cc,"1'25""172",Rosalina,Koopa Clown,Ancient Tires,Hylian Kite
SNES Bowser Castle 3,150cc,"1'39""827",Black Yoshi,Biddybuggy,Azure Roller,Cloud Glider
SNES Bowser Castle 3,200cc,"1'13""223",Birdo (Green),Biddybuggy,Azure Roller,Flower Glider
Wii Rainbow Road,150cc,"2'31""107",Dry Bowser,Mach 8,Slim,Flower Glider
Wii Rainbow Road,200cc,"1'50""580",Heavy Mii Yoshi,Mach 8,Slim,Paper Glider
